geometry_id,family,role,status,energy_eV,dipole_debye,polarizability_isotropic_angstrom3,s2,wall_seconds
h2_equilibrium,h2,characterisation,ok,-31.873574167792878,1.9818950505472327e-12,0.4370471994113788,-2.6645352591003757e-15,1.0060349999985192
h3_reactant,h3_transfer,characterisation,ok,-45.52929561846986,0.0005404952141228326,0.5347308803171832,0.7500000244901902,1.7778664999932516
h3_transfer_0p90,h3_transfer,validation,ok,-45.07791121236317,0.05759667133983581,1.1724783433078454,0.7559883164178931,1.8564003000210505
h3_transfer_1p06,h3_transfer,validation,ok,-45.18565774468143,0.14313723580973028,1.1950526814712275,0.756822023316671,2.0087087999854703
h3_transfer_1p22,h3_transfer,final_holdout,ok,-45.21383571398963,0.14004049460995785,1.168529477829291,0.756084648396639,2.010769899992738
h_formaldehyde_reactant,h_formaldehyde_transfer,characterisation,ok,-3128.7121032557566,2.534518326893886,2.2883314250457913,0.7500005554872393,6.408792899979744
h_formaldehyde_transfer_0p90,h_formaldehyde_transfer,validation,ok,-3128.555687922077,1.9387382958966928,3.583788975322387,0.7569715513953774,6.710576799989212
h_formaldehyde_transfer_1p06,h_formaldehyde_transfer,validation,ok,-3128.4636319179326,1.9636856057678316,3.8887839946561535,0.7600092662707514,6.819592800020473
h_formaldehyde_transfer_1p22,h_formaldehyde_transfer,final_holdout,ok,-3128.2907892589355,1.9826002026027643,4.110297447716731,0.7626584393093268,6.996510199998738
water_transfer_reactant,water_transfer,characterisation,ok,-4139.1192280184505,3.581138405594516,1.743229542990656,0.7524793860309558,5.488799300015671
water_transfer_1p10,water_transfer,validation,ok,-4137.8986422391645,2.940994612938858,2.577423883351084,0.7566272350807584,6.9506063000008
water_transfer_1p30,water_transfer,validation,ok,-4138.470678647177,3.1071397906824396,2.672907682658853,0.7571464227554685,7.082613900012802
water_transfer_1p52,water_transfer,final_holdout,ok,-4138.744332962801,3.7251842353401736,2.315502521052787,0.7530577592177039,7.414190099982079
h_h2_linear_3p00,h_h2_approach,characterisation,ok,-45.518016153007096,0.02574347461380612,0.5737084531506528,0.7500030304423736,1.7144070999929681
h_h2_linear_1p80,h_h2_approach,validation,ok,-45.393292947203385,0.004952313095628428,0.7742793676326328,0.7506282062025278,2.1314895000250544
h_h2_linear_1p20,h_h2_approach,validation,ok,-45.151122035859586,0.22095369039774668,1.0225946453549573,0.7539223921075855,1.9820826999784913
h_h2_perpendicular_1p50,h_h2_approach,final_holdout,ok,-44.956521209298415,0.6008651984318794,0.7537217941300325,0.7512056141816588,1.7563395000179298
water_angle_90p0,water_angle,validation,ok,-2079.2013229691297,2.3142638931218102,1.0222078504424295,-8.881784197001252e-15,1.9448036999965552
water_angle_104p5,water_angle,characterisation,ok,-2079.351837887602,2.1319690999333667,1.017064177887365,8.881784197001252e-15,1.8983529999968596
water_angle_120p0,water_angle,final_holdout,ok,-2079.2098252032924,1.8731363077124052,1.008027863338218,7.993605777301127e-15,1.8960545000154525
oh_stretch_0p80,oh_stretch,validation,ok,-2059.2345758140505,1.6783594548084468,0.6137173113305197,0.7520525039319708,1.8624172999989241
oh_stretch_0p97,oh_stretch,characterisation,ok,-2060.4295679550487,1.8157038822736842,0.7213971012399892,0.7525187691415876,2.4407446999975946
oh_stretch_1p20,oh_stretch,final_holdout,ok,-2059.665578792211,1.9511832713232435,0.9189006349032998,0.7547488904182584,3.399213199998485
water_h_probe_lone_pair,water_h_direction,validation,ok,-2092.5324219352096,2.7265333480717877,1.6490665363090096,0.7512797432006746,3.6648397000099067
water_h_probe_out_of_plane,water_h_direction,final_holdout,ok,-2092.557045048082,2.2423693541085976,1.718029424240834,0.7528881160322944,3.8468323000124656
water_h_probe_h_side,water_h_direction,final_holdout,ok,-2092.130362595814,1.156855929034721,1.6466974130758127,0.753330123956995,3.664779000013368
methane_equilibrium,methane,final_holdout,ok,-1102.1313811576802,1.701868898215617e-11,2.057709580725934,-1.2434497875801753e-14,2.936614500009455
ethane_equilibrium,ethane,final_holdout,ok,-2171.558648251356,1.790029210142956e-10,3.748422688706426,1.0658141036401503e-14,6.091972199996235
formaldehyde_equilibrium,formaldehyde,final_holdout,ok,-3115.0761099677825,2.534781485615338,2.2468610233098154,-1.0658141036401503e-14,3.2208876000077
n2_equilibrium,n2,final_holdout,ok,-2979.681943547873,2.930661298334053e-08,1.52929833676266,1.4210854715202004e-14,1.508557400025893
