geometry_id,system,split,sample_kind,region,donor_distance_angstrom,transfer_distance_angstrom,base_energy_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,component_sum_error_eV,base_force_rms_eV_per_angstrom,base_force_max_eV_per_angstrom
h3_reactant_reference_0000,h3,train,reactant_reference,reactant_reference,0.74144,5.0,-4.512627573197906,-4.512627573197906,0.0,0.0,0.0,0.0,0.0
h3_product_reference_0000,h3,train,product_reference,product_reference,5.0,0.74144,-4.512627573197906,-4.512627573197906,0.0,0.0,0.0,2.9007785717557725e-15,3.552713678800501e-15
h3_grid_0000,h3,train,grid,off_path,0.7,0.7,-1.1803127623669853,-8.958312762366985,7.778,0.0,0.0,1.3742060996423946,1.6830518727720618
h3_grid_0001,h3,train,grid,off_path,0.7,0.8428571429,-1.0625674084445031,-8.840567408444503,7.778,0.0,-4.440892098500626e-16,3.1199916010630493,4.373809005623942
h3_grid_0002,h3,train,grid,off_path,0.7,0.9857142857,-1.8551717922829345,-7.8528552770590645,5.997683484776131,0.0,6.661338147750939e-16,28.030687650086797,35.141011027277145
h3_grid_0003,h3,train,grid,off_path,0.7,1.1285714286,-4.74826708251535,-4.855160722230057,0.10689363971470618,0.0,0.0,5.64220808199012,7.596322036630713
h3_grid_0004,h3,train,grid,off_path,0.7,1.2714285714,-4.4791563811834925,-4.4791563811834925,0.0,0.0,0.0,1.3742060996423946,1.6830518727720618
h3_grid_0005,h3,train,grid,reactant_like,0.7,1.4142857143,-4.4791563811834925,-4.4791563811834925,0.0,0.0,0.0,1.3742060996423946,1.6830518727720618
h3_grid_0006,h3,train,grid,reactant_like,0.7,1.5571428571,-4.4791563811834925,-4.4791563811834925,0.0,0.0,0.0,1.3742060996423946,1.6830518727720618
h3_grid_0007,h3,train,grid,reactant_like,0.7,1.7,-4.4791563811834925,-4.4791563811834925,0.0,0.0,0.0,1.3742060996423946,1.6830518727720618
