geometry_id,system,transfer_distance_angstrom,fixed_donor_distance_angstrom,taper_inner_angstrom,taper_outer_angstrom,base_relative_eV,qm_relative_eV,residual_target_eV,base_bond_energy_eV,base_overcoord_energy_eV,base_angle_energy_eV,base_force_max_eV_per_angstrom
h3_dense_transfer_0000,h3,0.84,0.8428571429,0.9268,1.186304,3.5601939760465786,0.5537876016345749,-3.0064063744120038,-8.730433597151327,7.778,0.0,2.6907571328518802
h3_dense_transfer_0001,h3,0.86,0.8428571429,0.9268,1.186304,3.6165532842545005,0.5135995776241344,-3.102953706630366,-8.674074288943405,7.778,0.0,2.9902578643616913
h3_dense_transfer_0002,h3,0.88,0.8428571429,0.9268,1.186304,3.67947925888736,0.4797625534595156,-3.1997167054278446,-8.611148314310546,7.778,0.0,3.2946059250692663
h3_dense_transfer_0003,h3,0.9,0.8428571429,0.9268,1.186304,3.7480430575429646,0.45138440610742236,-3.2966586514355423,-8.54258451565494,7.778,0.0,3.554771616062263
h3_dense_transfer_0004,h3,0.92,0.8428571429,0.9268,1.186304,3.8214036638300666,0.42767668444583506,-3.3937269793842315,-8.46922390936784,7.778,0.0,3.7749565647633223
h3_dense_transfer_0005,h3,0.94,0.8428571429,0.9268,1.186304,3.8256921624968956,0.4079439048376514,-3.417748257659244,-8.36615120796693,7.679215797265919,0.0,9.762683680719903
h3_dense_transfer_0006,h3,0.96,0.8428571429,0.9268,1.186304,3.529441328032732,0.3915742669384059,-3.137867061094326,-8.153706437270657,7.170520192105482,0.0,24.75901886228768
h3_dense_transfer_0007,h3,0.98,0.8428571429,0.9268,1.186304,2.970162484208042,0.37803133464142036,-2.5921311495666215,-7.840352359583639,6.297887270593774,0.0,35.7055597608209
h3_dense_transfer_0008,h3,1.0,0.8428571429,0.9268,1.186304,2.247029790252472,0.3668466311026961,-1.8801831591497757,-7.447062077404816,5.181464294459381,0.0,40.96633194235096
h3_dense_transfer_0009,h3,1.02,0.8428571429,0.9268,1.186304,1.4801994304927986,0.357612924143325,-1.1225865063494735,-6.998751118983602,3.9663229762784944,0.0,40.1110269051392
h3_dense_transfer_0010,h3,1.04,0.8428571429,0.9268,1.186304,0.7857427846072405,0.34997784332146153,-0.4357649412857789,-6.522498626169796,2.7956138375791295,0.0,33.962020410389385
h3_dense_transfer_0011,h3,1.06,0.8428571429,0.9268,1.186304,0.2524964458123291,0.34363787378883615,0.09114142797650704,-6.045729810548163,1.7855986831625876,0.0,24.360018012123117
h3_dense_transfer_0012,h3,1.08,0.8428571429,0.9268,1.186304,-0.07401474479331327,0.33833318978707183,0.4123479345803851,-5.594480966989009,1.007838648997789,0.0,13.705515213317476
h3_dense_transfer_0013,h3,1.1,0.8428571429,0.9268,1.186304,-0.19711368584700484,0.33384316406941394,0.5309568499164188,-5.1918543967906885,0.4821131377457769,0.0,4.38435047998225
