geometry_id,system,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,sapt_hstate_energy_eV,hstate_force_max_eV_per_angstrom,sapt_hstate_force_max_eV_per_angstrom,qm_relative_eV,hstate_relative_eV,sapt_hstate_relative_eV,hstate_residual_eV,sapt_hstate_residual_eV
h3_reactant_reference_0000,h3,reactant_reference,reactant_reference,5.0,0.74144,-45.52929561847012,-4.512627573197906,-4.512627573197906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h3_product_reference_0000,h3,product_reference,product_reference,0.74144,5.0,-45.52929561847183,-4.512627573197906,-4.512627573197906,3.552713678800501e-15,3.552713678800501e-15,-1.7053025658242404e-12,0.0,0.0,-1.7053025658242404e-12,-1.7053025658242404e-12
h3_dense_transfer_0000,h3,dense_transfer_scan,transfer_microscope,0.84,0.8428571429,-44.97550801683555,-3.4696721092062868,-3.7557020468628375,4.731319067411628,2.583214117535823,0.5537876016345749,1.0429554639916194,0.7569255263350687,-0.48916786235704457,-0.20313792470049385
h3_dense_transfer_0001,h3,dense_transfer_scan,transfer_microscope,0.86,0.8428571429,-45.01569604084599,-3.5617235717026947,-3.8059149397541923,4.524031735560067,2.4579489697531214,0.5135995776241344,0.9509040014952115,0.7067126334437139,-0.43730442387107704,-0.1931130558195795
h3_dense_transfer_0002,h3,dense_transfer_scan,transfer_microscope,0.88,0.8428571429,-45.04953306501061,-3.650627261239462,-3.85419703844832,4.365819887554391,2.3741225218401283,0.4797625534595156,0.8620003119584441,0.658430534749586,-0.3822377584989285,-0.17866798129007044
h3_dense_transfer_0003,h3,dense_transfer_scan,transfer_microscope,0.9,0.8428571429,-45.0779112123627,-3.7363257761525017,-3.901013391051793,4.203088896384029,2.310357194466654,0.45138440610742236,0.7763017970454045,0.6116141821461132,-0.3249173909379821,-0.16022977603869082
h3_dense_transfer_0004,h3,dense_transfer_scan,transfer_microscope,0.92,0.8428571429,-45.10161893402429,-3.818709621061279,-3.9467070823310584,4.0342298910363965,2.260984766107959,0.42767668444583506,0.6939179521366272,0.5659204908668478,-0.26624126769079215,-0.13824380642101275
h3_dense_transfer_0005,h3,dense_transfer_scan,transfer_microscope,0.94,0.8428571429,-45.12135171363247,-3.8905226998971814,-3.982794904726998,2.818885535358972,1.4284556473071275,0.4079439048376514,0.6221048733007248,0.5298326684709083,-0.21416096846307342,-0.12188876363325685
h3_dense_transfer_0006,h3,dense_transfer_scan,transfer_microscope,0.96,0.8428571429,-45.13772135153172,-3.933545059751787,-3.9861167672842512,1.7949005435162446,1.4892666415204587,0.3915742669384059,0.579082513446119,0.526510805913655,-0.18750824650771314,-0.13493653897524904
h3_dense_transfer_0007,h3,dense_transfer_scan,transfer_microscope,0.98,0.8428571429,-45.1512642838287,-3.9591230851618455,-3.9678589876818737,1.0623289112846344,1.6657316575064787,0.37803133464142036,0.5535044880360607,0.5447685855160325,-0.1754731533946403,-0.1667372508746121
h3_dense_transfer_0008,h3,dense_transfer_scan,transfer_microscope,1.0,0.8428571429,-45.162448987367426,-3.97943478165497,-3.9407649503386093,1.0311377537877409,1.3772625619679406,0.3668466311026961,0.5331927915429362,0.5718626228592969,-0.1663461604402401,-0.2050159917566008
h3_dense_transfer_0009,h3,dense_transfer_scan,transfer_microscope,1.02,0.8428571429,-45.1716826943268,-4.001992713179578,-3.917163046423676,1.906573389916936,0.8777238512868113,0.357612924143325,0.5106348600183281,0.5954645267742302,-0.15302193587500312,-0.2378516026309052
h3_dense_transfer_0010,h3,dense_transfer_scan,transfer_microscope,1.04,0.8428571429,-45.17931777514866,-4.029867910655264,-3.91101349855483,2.8974711493245415,1.835465870431058,0.34997784332146153,0.4827596625426418,0.6016140746430763,-0.13278181922118026,-0.2516362313216147
h3_dense_transfer_0011,h3,dense_transfer_scan,transfer_microscope,1.06,0.8428571429,-45.185657744681286,-4.064635481716023,-3.934131010333513,3.839413162571983,3.9655946374724476,0.34363787378883615,0.44799209148188357,0.5784965628643932,-0.10435421769304742,-0.23485868907555707
h3_dense_transfer_0012,h3,dense_transfer_scan,transfer_microscope,1.08,0.8428571429,-45.19096242868305,-4.108906799055033,-3.99018191423173,4.786055175272896,5.893940495247744,0.33833318978707183,0.4037207741428732,0.5224456589661761,-0.06538758435580139,-0.1841124691791043
h3_dense_transfer_0013,h3,dense_transfer_scan,transfer_microscope,1.1,0.8428571429,-45.19545245440071,-4.165219284981884,-4.073581539451188,5.633043542609297,7.209048641283325,0.33384316406941394,0.3474082882160223,0.4390460337467186,-0.013565124146608376,-0.10520286967730463
h3_dense_transfer_0014,h3,dense_transfer_scan,transfer_microscope,1.12,0.8428571429,-45.19931424163144,-4.230916619070232,-4.171260599016152,6.002962494595965,7.584672004381413,0.32998137683868123,0.2817109541276741,0.34136697418175377,0.04827042271100712,-0.01138559734307254
h3_dense_transfer_0015,h3,dense_transfer_scan,transfer_microscope,1.14,0.8428571429,-45.20270507121753,-4.294370548467185,-4.2636305412188715,5.529439373808177,6.802384246989527,0.32659054725259296,0.21825702473072095,0.24899703197903467,0.108333522521872,0.07759351527355829
h3_dense_transfer_0016,h3,dense_transfer_scan,transfer_microscope,1.16,0.8428571429,-45.20575590331278,-4.340177079261208,-4.330057457585089,4.355748953927563,5.12248514769799,0.32353971515734514,0.1724504939366982,0.18257011561281722,0.15108922122064694,0.14096959954452792
h3_dense_transfer_0017,h3,dense_transfer_scan,transfer_microscope,1.18,0.8428571429,-45.20857301219492,-4.360268221494962,-4.359689900104048,3.0576839167526595,3.241554819683848,0.3207226062752042,0.1523593517029438,0.15293767309385853,0.16836325457226042,0.16778493318134569
h3_dense_transfer_0018,h3,dense_transfer_scan,transfer_microscope,1.2,0.8428571429,-45.21124246183231,-4.36141102726101,-4.36141102726101,2.6907571328518802,2.6907571328518802,0.3180531566378093,0.15121654593689637,0.15121654593689637,0.16683661070091294,0.16683661070091294
h3_dense_transfer_0019,h3,dense_transfer_scan,transfer_microscope,1.22,0.8428571429,-45.21383571398944,-4.36141102726101,-4.36141102726101,2.6907571328518802,2.6907571328518802,0.31545990448068295,0.15121654593689637,0.15121654593689637,0.16424335854378658,0.16424335854378658
h3_dense_transfer_0020,h3,dense_transfer_scan,transfer_microscope,1.24,0.8428571429,-45.216410269244165,-4.36141102726101,-4.36141102726101,2.6907571328518802,2.6907571328518802,0.312885349225958,0.15121654593689637,0.15121654593689637,0.16166880328906164,0.16166880328906164
h3_dense_transfer_0021,h3,dense_transfer_scan,transfer_microscope,1.26,0.8428571429,-45.21900736177095,-4.36141102726101,-4.36141102726101,2.6907571328518802,2.6907571328518802,0.3102882566991738,0.15121654593689637,0.15121654593689637,0.15907171076227744,0.15907171076227744
h3_dense_transfer_0022,h3,dense_transfer_scan,transfer_microscope,1.28,0.8428571429,-45.22165537340447,-4.36141102726101,-4.36141102726101,2.6907571328518802,2.6907571328518802,0.3076402450656559,0.15121654593689637,0.15121654593689637,0.15642369912875953,0.15642369912875953
water_reactant_reference_0000,water,reactant_reference,reactant_reference,5.0,0.96,-4139.119228018444,-15.135009322487559,-15.13676901884902,1.9226425033566525,1.6775762886387782,0.0,0.0,0.0,0.0,0.0
water_product_reference_0000,water,product_reference,product_reference,0.96,5.0,-4139.119228018612,-15.135009322487559,-15.13676901884902,1.9226425033566659,1.6775762886387795,-1.6825651982799172e-10,0.0,0.0,-1.6825651982799172e-10,-1.6825651982799172e-10
water_dense_transfer_0000,water,dense_transfer_scan,transfer_microscope,1.08,1.0285714286,-4137.8034006296875,-6.04843901732192,-5.8700818556428125,74.9487667041363,74.88526770545964,1.3158273887565883,9.086570305165639,9.266687163206207,-7.77074291640905,-7.9508597744496186
water_dense_transfer_0001,water,dense_transfer_scan,transfer_microscope,1.1,1.0285714286,-4137.898642239152,-7.5173027152398095,-7.332777044207351,67.99502008086496,68.04470363035155,1.220585779292378,7.617706607247749,7.803991974641669,-6.397120827955371,-6.583406195349291
water_dense_transfer_0002,water,dense_transfer_scan,transfer_microscope,1.12,1.0285714286,-4137.984025472869,-8.840185393754268,-8.652404454165158,60.56689824616767,60.62452750001617,1.1352025455753392,6.29482392873329,6.484364564683862,-5.159621383157951,-5.3491620191085225
water_dense_transfer_0003,water,dense_transfer_scan,transfer_microscope,1.14,1.0285714286,-4138.060804366496,-10.010928132895344,-9.820757667379558,52.98515014843492,52.96987470878212,1.0584236519480328,5.124081189592214,5.316011351469461,-4.0656575376441815,-4.257587699521428
water_dense_transfer_0004,water,dense_transfer_scan,transfer_microscope,1.16,1.0285714286,-4138.130073393572,-11.029362714880072,-10.836193775634214,45.52458737442279,45.398122066180896,0.9891546248718441,4.105646607607486,4.300575243214805,-3.116491982735642,-3.311420618342961
water_dense_transfer_0005,water,dense_transfer_scan,transfer_microscope,1.18,1.0285714286,-4138.192784040764,-11.900276894193915,-11.70287473939964,38.40326212210892,38.17286473107476,0.9264439776798099,3.2347324282936434,3.4338942794493796,-2.3082884506138335,-2.5074503017695697
water_dense_transfer_0006,water,dense_transfer_scan,transfer_microscope,1.2,1.0285714286,-4138.249761842807,-12.632212094035864,-12.429533685222573,31.77647097814824,31.48329698456603,0.8694661756371715,2.502797228451694,2.7072353336264463,-1.6333310528145226,-1.8377691579892748
water_dense_transfer_0007,water,dense_transfer_scan,transfer_microscope,1.22,1.0285714286,-4138.30172483687,-13.25052035306213,-13.041805806766757,26.821335324680714,26.483727511150597,0.817503181574466,1.884488969425428,2.0949632120822628,-1.066985787850962,-1.2774600305077968
water_dense_transfer_0008,water,dense_transfer_scan,transfer_microscope,1.24,1.0285714286,-4138.349297846798,-13.752785500261021,-13.538123194971135,20.318563154099554,19.998637146597734,0.769930171645683,1.3822238222265373,1.5986458238778845,-0.6122936505808543,-0.8287156522322014
water_dense_transfer_0009,water,dense_transfer_scan,transfer_microscope,1.26,1.0285714286,-4138.393021556673,-14.112548442236886,-13.891755131036888,13.767820773755805,13.376416825938252,0.7262064617707438,1.022460880250673,1.2450138878121315,-0.29625441847992917,-0.5188074260413877
water_dense_transfer_0010,water,dense_transfer_scan,transfer_microscope,1.28,1.0285714286,-4138.433356238197,-14.3718830774005,-14.141542121255565,9.745874457556996,9.086389876051964,0.6858717802469982,0.763126245087058,0.9952268975934544,-0.07725446484005971,-0.30935511734645615
water_dense_transfer_0011,water,dense_transfer_scan,transfer_microscope,1.3,1.0285714286,-4138.47067864717,-14.551369786267177,-14.305095894609597,5.999492054138203,5.029583957939065,0.6485493712743846,0.5836395362203817,0.8316731242394226,0.06490983505400294,-0.18312375296503802
water_dense_transfer_0012,water,dense_transfer_scan,transfer_microscope,1.32,1.0285714286,-4138.505301404755,-14.657025571099016,-14.391097311961001,3.3875293134244036,2.801266662742492,0.6139266136888182,0.47798375138854254,0.7456717068880181,0.13594286230027564,-0.13174509319919991
water_dense_transfer_0013,water,dense_transfer_scan,transfer_microscope,1.34,1.0285714286,-4138.359175758805,-14.70149631550484,-14.422165085724508,3.5000234178153042,3.3910978766165925,0.7600522596394512,0.433513006982718,0.7146039331245113,0.3265392526567332,0.04544832651493991
