geometry_id,sample_kind,region,transfer_distance_angstrom,donor_distance_angstrom,qm_energy_eV,hstate_energy_eV,ablated_hstate_energy_eV,original_over_eV,ablated_over_eV,over_delta_eV,original_angle_eV,ablated_angle_eV,angle_delta_eV,oo_taper_sum,oo_directed_contacts,qm_relative_eV,hstate_relative_eV,ablated_hstate_relative_eV,hstate_residual_eV,ablated_residual_eV
water_reactant_reference_0000,reactant_reference,reactant_reference,5.0,0.96,-4139.119228018444,-15.135009322487559,-15.135009322487559,0.0002882458339143695,0.0002882458339143695,0.0,0.3323495368491969,0.3323495368491969,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
water_product_reference_0000,product_reference,product_reference,0.96,5.0,-4139.119228018612,-15.135009322487559,-15.135009322487559,0.0002882458339143992,0.0002882458339143992,0.0,0.3323495368491975,0.3323495368491975,0.0,0.0,0,-1.6825651982799172e-10,0.0,0.0,-1.6825651982799172e-10,-1.6825651982799172e-10
water_dense_transfer_0000,dense_transfer_scan,transfer_microscope,1.08,1.0285714286,-4137.8034006296875,-6.04843901732192,-13.896295506231258,11.356584763084658,7.778,-3.578584763084659,4.933970799523074,0.6646990736983934,-4.26927172582468,0.9592607672658643,2,1.3158273887565883,9.086570305165639,1.2387138162563005,-7.77074291640905,0.07711357250028783
water_dense_transfer_0001,dense_transfer_scan,transfer_microscope,1.1,1.0285714286,-4137.898642239152,-7.5173027152398095,-13.980392187220964,10.510689129015136,7.778,-2.732689129015136,4.395099416664411,0.6646990736983934,-3.7304003429660173,0.8382549814895605,2,1.220585779292378,7.617706607247749,1.1546171352665944,-6.397120827955371,0.06596864402578362
water_dense_transfer_0002,dense_transfer_scan,transfer_microscope,1.12,1.0285714286,-4137.984025472869,-8.840185393754268,-14.06251272250311,9.792054079423385,7.778,-2.014054079423386,3.87297232302385,0.6646990736983934,-3.208273249325457,0.7196421497618848,2,1.1352025455753392,6.29482392873329,1.072496599984449,-5.159621383157951,0.06270594559089027
water_dense_transfer_0003,dense_transfer_scan,transfer_microscope,1.14,1.0285714286,-4138.060804366496,-10.010928132895344,-14.142558501653232,9.202304735790843,7.778,-1.4243047357908436,3.3720247066654365,0.6646990736983934,-2.707325632967043,0.6051771023614814,2,1.0584236519480328,5.124081189592214,0.9924508208343266,-4.0656575376441815,0.06597283111370622
water_dense_transfer_0004,dense_transfer_scan,transfer_microscope,1.16,1.0285714286,-4138.130073393572,-11.029362714880072,-14.220417218692692,8.736892002266082,7.778,-0.9588920022660821,2.8968615752449303,0.6646990736983938,-2.2321625015465365,0.49655330472627013,2,0.9891546248718441,4.105646607607486,0.9145921037948668,-3.116491982735642,0.07456252107697736
water_dense_transfer_0005,dense_transfer_scan,transfer_microscope,1.18,1.0285714286,-4138.192784040764,-11.900276894193915,-14.295984430729991,8.385942508945536,7.778,-0.6079425089455368,2.4524641012889314,0.6646990736983938,-1.7877650275905377,0.39537780329713923,2,0.9264439776798099,3.2347324282936434,0.8390248917575676,-2.3082884506138335,0.08741908592224235
water_dense_transfer_0006,dense_transfer_scan,transfer_microscope,1.2,1.0285714286,-4138.249761842807,-12.632212094035864,-14.369172835922495,8.135392785737597,7.778,-0.3573927857375976,2.0442670298474246,0.6646990736983934,-1.3795679561490313,0.3031474498967692,2,0.8694661756371715,2.502797228451694,0.765836486565064,-1.6333310528145226,0.10362968907210757
water_dense_transfer_0007,dense_transfer_scan,transfer_microscope,1.22,1.0285714286,-4138.30172483687,-13.25052035306213,-14.435488402454416,7.818917683718239,7.642993016523586,-0.1759246671946535,1.67164192824844,0.6625985460508087,-1.0090433821976315,0.2212267563945718,2,0.817503181574466,1.884488969425428,0.6995209200331427,-1.066985787850962,0.1179822615413233
water_dense_transfer_0008,dense_transfer_scan,transfer_microscope,1.24,1.0285714286,-4138.349297846798,-13.752785500261021,-14.492333709872877,7.306842902291521,7.249627690863857,-0.05721521142766406,1.3386263611921931,0.6562933630080021,-0.682332998184191,0.15082770728928363,2,0.769930171645683,1.3822238222265373,0.6426756126146813,-0.6122936505808543,0.1272545590310017
water_dense_transfer_0009,dense_transfer_scan,transfer_microscope,1.26,1.0285714286,-4138.393021556673,-14.112548442236886,-14.54238163703807,6.648318901477379,6.6315038761558425,-0.016815025321536226,1.0588002443970832,0.6457820749174368,-0.4130181694796464,0.09299182887412538,2,0.7262064617707438,1.022460880250673,0.5926276854494894,-0.29625441847992917,0.13357877632125437
water_dense_transfer_0010,dense_transfer_scan,transfer_microscope,1.28,1.0285714286,-4138.433356238197,-14.3718830774005,-14.587591306875229,5.8448331288261075,5.840245063035591,-0.004588065790516183,0.8422124253664084,0.6310922616821965,-0.21112016368421194,0.04857478026419115,2,0.6858717802469982,0.763126245087058,0.5474180156123296,-0.07725446484005971,0.13845376463466863
water_dense_transfer_0011,dense_transfer_scan,transfer_microscope,1.3,1.0285714286,-4138.47067864717,-14.551369786267177,-14.628968493048989,4.940187466634623,4.939540983374342,-0.000646483260281272,0.6892736719277583,0.6123214484062284,-0.07695222352152997,0.018233694255767707,2,0.6485493712743846,0.5836395362203817,0.5060408294385699,0.06490983505400294,0.14250854183581474
water_dense_transfer_0012,dense_transfer_scan,transfer_microscope,1.32,1.0285714286,-4138.505301404755,-14.657025571099016,-14.66686917911515,3.9979472654043233,3.997935901571027,-1.1363833296140768e-05,0.599518611818803,0.5896863676359652,-0.00983224418283779,0.002417455304600913,2,0.6139266136888182,0.47798375138854254,0.46814014337240906,0.13594286230027564,0.14578647031640912
water_dense_transfer_0013,dense_transfer_scan,transfer_microscope,1.34,1.0285714286,-4138.359175758805,-14.70149631550484,-14.70149631550484,3.081304067574278,3.081304067574278,0.0,0.563573000156685,0.563573000156685,0.0,0.0,2,0.7600522596394512,0.433513006982718,0.433513006982718,0.3265392526567332,0.3265392526567332
water_dense_transfer_0014,dense_transfer_scan,transfer_microscope,1.36,1.0285714286,-4138.41223143956,-14.732707334229936,-14.732707334229936,2.2459845631602184,2.2459845631602184,0.0,0.5345785824402,0.5345785824402,0.0,0.0,2,0.7069965788841728,0.40230198825762287,0.40230198825762287,0.3046945906265499,0.3046945906265499
water_dense_transfer_0015,dense_transfer_scan,transfer_microscope,1.38,1.0285714286,-4138.46258794179,-14.762859958990102,-14.762859958990102,1.5334464898154545,1.5334464898154545,0.0,0.5035365346363507,0.5035365346363507,0.0,0.0,2,0.6566400766541847,0.3721493634974564,0.3721493634974564,0.28449071315672825,0.28449071315672825
