gap_A,bridge_taper,energy_eV,dE_dgap_autograd_eV_per_A,component_count,largest_component_edges,dE_dgap_finite_difference_eV_per_A,gradient_error_eV_per_A
1.146304,0.05748682979718195,-4.43520188383746,-2.732925932264628,1,5,,
1.1466373333333333,0.05655111776084687,-4.4361084606435774,-2.7065431607300283,1,5,-2.7065514498073244,8.289077296108616e-06
1.1469706666666666,0.0556226269698174,-4.437006251470665,-2.68021012349981,1,5,-2.6802184776236326,8.354123822496007e-06
1.147304,0.05470137254389623,-4.437895272961994,-2.6539272108051843,1,5,-2.653935629099399,8.418294214607158e-06
1.1476373333333334,0.053787369485048364,-4.438775541890065,-2.6276948076750024,1,5,-2.6277032892759298,8.48160092736805e-06
1.1479706666666667,0.05288063267715415,-4.439647075154844,-2.6015132939931664,1,5,-2.601521838055574,8.544062407356279e-06
1.148304,0.051981176885768754,-4.440509889782102,-2.5753830445556325,1,5,-2.575391650252729,8.605697096708553e-06
1.1486373333333333,0.05108901675788102,-4.441364002921679,-2.549304429129288,1,5,-2.5493130956276175,8.666498329645833e-06
1.1489706666666666,0.050204166821675555,-4.442209431845853,-2.523277812509619,1,5,-2.523286538991088,8.726481468990244e-06
1.1493039999999999,0.0493266414862954,-4.443046193947673,-2.4973035545796183,1,5,-2.4973123402237656,8.785644147302207e-06
1.1496373333333334,0.048456455041607394,-4.443874306739336,-2.4713820103687443,1,5,-2.4713908543806435,8.844011899267201e-06
1.1499706666666667,0.04759362165797165,-4.444693787850594,-2.4455135301115725,1,5,-2.4455224317161877,8.901604615196845e-06
1.150304,0.0467381553860069,-4.445504655027147,-2.419698459308041,1,5,-2.4197074177177313,8.958409690507096e-06
1.1506373333333333,0.04589007015636476,-4.446306926129072,-2.3939371387823947,1,5,-2.393946153218793,9.014436398224746e-06
1.1509706666666666,0.045049379779501464,-4.4471006191292926,-2.368229904743279,1,5,-2.368238974453623,9.069710344089543e-06
1.151304,0.04421609794545328,-4.447885752112041,-2.3425770888430453,1,5,-2.3425862130851733,9.12424212806684e-06
1.1516373333333334,0.04339023822361504,-4.44866234327135,-2.3169790182386123,1,5,-2.316988196269054,9.178030441869822e-06
1.1519706666666667,0.04257181406251631,-4.449430410909554,-2.2914360156510973,1,5,-2.2914452467362203,9.231085122962668e-06
1.152304,0.041760838789604515,-4.45018997343584,-2.265948399426186,1,5,-2.2659576828461256,9.28341993944315e-06
1.1526373333333333,0.04095732561102716,-4.4509410493647845,-2.2405164835945737,1,5,-2.24052581864356,9.335048986258698e-06
1.1529706666666666,0.040161287611417074,-4.451683657314936,-2.215140577931926,1,5,-2.215149963916718,9.385984791610014e-06
1.1533039999999999,0.039372737753678944,-4.4524178160073955,-2.189820988020129,1,5,-2.189830424247097,9.436226968251304e-06
1.1536373333333334,0.03859168887877834,-4.453143544264434,-2.1645580153073,1,5,-2.164567501085696,9.485778396101097e-06
1.1539706666666667,0.037818153705533875,-4.45386086100812,-2.1393519571686834,1,5,-2.1393614918412545,9.534672571032132e-06
1.154304,0.03705214483040764,-4.454569785258995,-2.114203106966702,1,5,-2.114212689884331,9.582917629202825e-06
1.1546373333333333,0.036293674727301994,-4.455270336134709,-2.089111754112425,1,5,-2.0891213846148196,9.63050239466412e-06
1.1549706666666666,0.03554275574735549,-4.455962532848738,-2.0640781841257,1,5,-2.0640878615756204,9.67744992053099e-06
1.155304,0.03479940011874183,-4.456646394709093,-2.039102678695972,1,5,-2.039112402461452,9.723765479918711e-06
1.1556373333333334,0.0340636199464725,-4.457321941117046,-2.014185515742991,1,5,-2.0141952852072986,9.769464307751718e-06
1.1559706666666667,0.033335427212196456,-4.457989191565898,-1.989326969476993,1,5,-1.9893367840391167,9.814562123677817e-06
1.156304,0.03261483377400742,-4.4586481656397385,-1.9645273104599923,1,5,-1.964537169518493,9.859058500705231e-06
1.1566373333333333,0.0319018513662499,-4.459298883012243,-1.9397868056659586,1,5,-1.939796708629196,9.902963237440332e-06
1.1569706666666666,0.03119649159932847,-4.459941363445491,-1.915105718540854,1,5,-1.915115664835143,9.946294289076008e-06
1.1573039999999999,0.03049876595951828,-4.4605756267888,-1.8904843090637602,1,5,-1.890494298122403,9.989058642911885e-06
1.1576373333333334,0.029808685808777713,-4.461201692977573,-1.8659228338066178,1,5,-1.8659328650683376,1.0031261719722906e-05
1.1579706666666667,0.029126262384565504,-4.461819582032179,-1.841421545994443,1,5,-1.8414316189090203,1.0072914577330394e-05
1.158304,0.028451506799654525,-4.462429314056846,-1.8169806955654462,1,5,-1.8169908095939438,1.0114028497598682e-05
1.1586373333333333,0.027784430041952968,-4.463030909238575,-1.792600529230283,1,5,-1.792610683853033,1.0154622750002673e-05
1.1589706666666666,0.02712504297432483,-4.463624387846081,-1.768281290532407,1,5,-1.7682914852308829,1.0194698475851638e-05
1.1593040000000001,0.02647335633441278,-4.464209770228729,-1.7440232199068966,1,5,-1.7440334541630185,1.0234256121899321e-05
1.1596373333333334,0.025829380734464558,-4.464787076815523,-1.7198265547398588,1,5,-1.7198368280608396,1.027332098080258e-05
1.1599706666666667,0.025193126661158194,-4.465356328114103,-1.6956915294266715,1,5,-1.6957018413290206,1.0311902349124935e-05
1.160304,0.024564604475432406,-4.465917544709742,-1.6716183754313416,1,5,-1.6716287254336557,1.0350002314085671e-05
1.1606373333333333,0.023943824412317738,-4.466470747264392,-1.647607321344088,1,5,-1.6476177089772153,1.038763312721791e-05
1.1609706666666666,0.023330796580769975,-4.467015956515727,-1.6236585929393392,1,5,-1.6236690177337654,1.0424794426144857e-05
1.161304,0.022725530963505436,-4.467553193276214,-1.5997724132331843,1,5,-1.5997828747456908,1.0461512506498849e-05
1.1616373333333334,0.02212803741683783,-4.468082478432224,-1.5759490025398595,1,5,-1.5759595003378242,1.0497797964692523e-05
1.1619706666666667,0.021538325670519498,-4.468603832943106,-1.552188578528984,1,5,-1.5521991121733625,1.0533644378529772e-05
1.162304,0.020956405327580696,-4.46911727784034,-1.5284913562810178,1,5,-1.5285019253458727,1.0569064854859533e-05
1.1626373333333333,0.020382285864174565,-4.46962283422667,-1.50485754834291,1,5,-1.5048681524178478,1.0604074937692332e-05
1.1629706666666666,0.019815976629422638,-4.470120523275285,-1.4812873647824905,1,5,-1.4812980034674157,1.0638684925234898e-05
1.1633040000000001,0.019257486845262017,-4.470610366228982,-1.4577810132434035,1,5,-1.457791686141471,1.0672898067554115e-05
1.1636373333333334,0.018706825606297106,-4.4710923843993795,-1.434338698998138,1,5,-1.4343494057184516,1.0706720313669038e-05
1.1639706666666667,0.018164001879648506,-4.4715665991661275,-1.4109606250010742,1,5,-1.4109713651643707,1.0740163296496519e-05
1.164304,0.01762902450480941,-4.472033031976156,-1.3876469919406738,1,5,-1.3876577651884965,1.0773247822726262e-05
1.1646373333333333,0.01710190219350055,-4.47249170434292,-1.364397998290361,1,5,-1.3644088042600704,1.0805969709482e-05
1.1649706666666666,0.01658264352952865,-4.472942637845662,-1.3412138403597567,1,5,-1.341224678687395,1.0838327638262868e-05
1.165304,0.016071256968646752,-4.473385854128711,-1.3180947123440099,1,5,-1.3181055826920034,1.0870347993519047e-05
1.1656373333333334,0.015567750838415828,-4.4738213749007905,-1.2950408063721994,1,5,-1.2950517084104218,1.0902038222404542e-05
1.1659706666666667,0.015072133338070948,-4.474249221934318,-1.2720523125558927,1,5,-1.272063245951889,1.093339599633758e-05
1.166304,0.014584412538385327,-4.474669417064758,-1.249129419035535,1,5,-1.2491403834677106,1.096443217551979e-05
1.1666373333333333,0.014104596381540546,-4.4750819821899634,-1.2262723120264063,1,5,-1.2262833071720287,1.0995145622416658e-05
1.1669706666666666,0.01363269268099676,-4.4754869392695396,-1.2034811758636135,1,5,-1.203492201426302,1.1025562688615764e-05
1.1673040000000001,0.013168709121365196,-4.475884310324248,-1.1807561930452426,1,5,-1.1807672487360177,1.1055690775085836e-05
