example,pair,distance_A,r0_A,width_per_A,stretch_ratio,dr_A,taper,order,morse_overlap,inner_cutoff_A,outer_cutoff_A,below_bad_water_ceiling
H3 H-H,H-H,0.74144,0.74144,1.9936,1.0,0.0,1.0,1.0,1.0,0.9268,1.186304,0
H3 H-H,H-H,0.778512,0.74144,1.9936,1.05,0.037071999999999994,1.0,1.0,0.9287583065451145,0.9268,1.186304,0
H3 H-H,H-H,0.815584,0.74144,1.9936,1.1,0.07414399999999999,1.0,1.0,0.8625919919765488,0.9268,1.186304,0
H3 H-H,H-H,0.852656,0.74144,1.9936,1.15,0.11121599999999998,1.0,1.0,0.8011394777075164,0.9268,1.186304,0
H3 H-H,H-H,0.85336995,0.74144,1.9936,1.150962923500216,0.11192995000000006,1.0,1.0,0.8000000023953677,0.9268,1.186304,0
H3 H-H,H-H,0.889728,0.74144,1.9936,1.2,0.14828799999999998,1.0,1.0,0.7440649446220704,0.9268,1.186304,0
H3 H-H,H-H,0.9268,0.74144,1.9936,1.25,0.18535999999999997,1.0,1.0,0.6910564979267784,0.9268,1.186304,0
H3 H-H,H-H,0.963872,0.74144,1.9936,1.3,0.22243199999999996,0.9504844339512096,1.0470637747676583,0.6418244627414721,0.9268,1.186304,0
H3 H-H,H-H,0.99767276,0.74144,1.9936,1.345587990936556,0.25623276000000006,0.8269775123199401,1.1430857064370634,0.5999999960579944,0.9268,1.186304,0
H3 H-H,H-H,1.038016,0.74144,1.9936,1.4000000000000001,0.29657600000000006,0.6112604669781568,1.2376211084878024,0.5536326418154445,0.9268,1.186304,0
H3 H-H,H-H,1.11216,0.74144,1.9936,1.5,0.37072000000000005,0.1882550990706331,1.1528151167445393,0.4775590833268234,0.9268,1.186304,0
H3 H-H,H-H,1.186204,0.74144,1.9936,1.5998651273198101,0.44476400000000005,3.663967291789305e-07,1.0000000000147202,0.41202077324751674,0.9268,1.186304,0
CH4 C-H,C-H,1.086,1.086,1.8,1.0,0.0,1.0,1.0,1.0,1.3575000000000002,1.7376000000000003,0
