geometry_id,system,split,sample_kind,region,charge,multiplicity,qm_method,qm_basis,qm_energy_hartree,qm_energy_eV,s2,wall_seconds,status,error
h3_reactant_reference_0000,h3,train,reactant_reference,reactant_reference,0,2,wb97x-d,jun-cc-pvdz,-1.6731707531137952,-45.52929561847011,,2.4912862999917706,ok,
h3_product_reference_0000,h3,train,product_reference,product_reference,0,2,wb97x-d,jun-cc-pvdz,-1.6731707531138602,-45.52929561847188,,0.890709400002379,ok,
h3_grid_0000,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6033958970148143,-43.63062505890251,,0.38789579999865964,ok,
h3_grid_0001,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6321334848855111,-44.41261466223006,,0.40428760000213515,ok,
h3_grid_0002,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.645280887290833,-44.770373707212705,,0.41806400001223665,ok,
h3_grid_0003,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6522568187172542,-44.960198471682574,,0.40751810000801925,ok,
h3_grid_0004,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6566937774540667,-45.08093426962749,,0.408712899996317,ok,
h3_grid_0005,h3,train,grid,reactant_like,0,2,wb97x-d,jun-cc-pvdz,-1.659921722904428,-45.168771140058254,,0.4046018999943044,ok,
h3_grid_0006,h3,train,grid,reactant_like,0,2,wb97x-d,jun-cc-pvdz,-1.6624163898278297,-45.23665448526603,,0.414437800005544,ok,
h3_grid_0007,h3,train,grid,reactant_like,0,2,wb97x-d,jun-cc-pvdz,-1.6643766910498783,-45.28999699897768,,0.43355619999056216,ok,
h3_grid_0008,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6321334848870779,-44.412614662272695,,0.38830680001410656,ok,
h3_grid_0009,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6530460619155143,-44.98167487319245,,0.37486349999380764,ok,
h3_grid_0010,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6594039436132983,-45.15468164777715,,0.4607745999965118,ok,
h3_grid_0011,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6610993827467757,-45.200816896894764,,0.43445640000572894,ok,
h3_grid_0012,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.661823191173759,-45.22051272756951,,0.43869640000048093,ok,
h3_grid_0013,h3,train,grid,reactant_like,0,2,wb97x-d,jun-cc-pvdz,-1.6626075292926865,-45.2418556550711,,0.41010359999199864,ok,
h3_grid_0014,h3,train,grid,reactant_like,0,2,wb97x-d,jun-cc-pvdz,-1.6635490769908627,-45.26747647315519,,0.46340690000215545,ok,
h3_grid_0015,h3,train,grid,reactant_like,0,2,wb97x-d,jun-cc-pvdz,-1.6645327127901386,-45.29424256681467,,0.47845049999887124,ok,
h3_grid_0016,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6452808872926188,-44.7703737072613,,0.4217616999958409,ok,
h3_grid_0017,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.659403943612775,-45.154681647762914,,0.4099939000006998,ok,
h3_grid_0018,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6591579174627642,-45.147986935168355,,0.38381059998937417,ok,
h3_grid_0019,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6550896082201019,-45.03728260099815,,0.4200332000036724,ok,
h3_grid_0020,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6513977188143223,-44.93682117240001,,0.41516289999708533,ok,
h3_grid_0021,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6491513200817884,-44.87569354882653,,0.42623680000542663,ok,
h3_grid_0022,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.648165753413919,-44.84887491355596,,0.4126066000026185,ok,
h3_grid_0023,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6479727444284928,-44.843622871504586,,0.4307121999881929,ok,
h3_grid_0024,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6522568187149915,-44.960198471621005,,0.47157579999475274,ok,
h3_grid_0025,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6610993827484923,-45.20081689694148,,0.48749150001094677,ok,
h3_grid_0026,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6550896082199769,-45.03728260099474,,0.4986859999917215,ok,
h3_grid_0027,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6452454734700175,-44.769410048056045,,0.43324610000126995,ok,
h3_grid_0028,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6365320610418814,-44.53230601695344,,0.47701460000826046,ok,
h3_grid_0029,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6305405702453428,-44.36926924669955,,0.518165700006648,ok,
h3_grid_0030,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6270911619493391,-44.27540606523688,,0.5099095000041416,ok,
h3_grid_0031,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6254055836248402,-44.22953914240107,,0.5154602999973577,ok,
h3_grid_0032,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6566937774530608,-45.08093426960012,,0.4815824999968754,ok,
h3_grid_0033,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6618231911737364,-45.220512727568895,,0.4803041999984998,ok,
h3_grid_0034,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6513977188142877,-44.936821172399064,,0.48936620001040865,ok,
h3_grid_0035,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6365320610417429,-44.532306016949676,,0.48379099999147,ok,
h3_grid_0036,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6227283599344873,-44.15668817449597,,0.43483139999443665,ok,
h3_grid_0037,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.612367882171213,-43.87476521238655,,0.5298206000006758,ok,
h3_grid_0038,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6057215907290818,-43.69391040885131,,0.5842257000040263,ok,
h3_grid_0039,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6019844312904643,-43.59221711990425,,0.5421745000057854,ok,
h3_grid_0040,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.659921722901546,-45.16877113997983,,0.5027219999901718,ok,
h3_grid_0041,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6626075292994285,-45.241855655254554,,0.5006435999966925,ok,
h3_grid_0042,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6491513200815113,-44.87569354881899,,0.4979165999975521,ok,
h3_grid_0043,h3,train,grid,transfer_region,0,2,wb97x-d,jun-cc-pvdz,-1.6305405702452973,-44.36926924669831,,0.5342393000028096,ok,
h3_grid_0044,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.6123678821711585,-43.87476521238506,,0.5420048999949358,ok,
h3_grid_0045,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.5976197085351544,-43.47344696315286,,0.4457598000008147,ok,
h3_grid_0046,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.5872527160266388,-43.191346725794375,,0.5591239000059431,ok,
h3_grid_0047,h3,train,grid,off_path,0,2,wb97x-d,jun-cc-pvdz,-1.5807589354830711,-43.01464195522667,,0.6014971000113292,ok,
h3_grid_0048,h3,train,grid,product_like,0,2,wb97x-d,jun-cc-pvdz,-1.6624163898242468,-45.23665448516853,,0.472920600004727,ok,
