geometry_id,system,split,sample_kind,region,base_energy_eV,base_force_max_eV_per_angstrom,qm_include,selection_reason
h3_reactant_reference_0000,h3,train,reactant_reference,reactant_reference,-4.512627573197906,0.0,yes,included
h3_product_reference_0000,h3,train,product_reference,product_reference,-4.512627573197906,3.552713678800501e-15,yes,included
h3_grid_0000,h3,train,grid,off_path,-1.1803127623669853,1.6830518727720618,yes,included
h3_grid_0001,h3,train,grid,off_path,-1.0625674084445031,4.373809005623942,yes,included
h3_grid_0002,h3,train,grid,off_path,-1.8551717922829345,35.141011027277145,yes,included
h3_grid_0003,h3,train,grid,off_path,-4.74826708251535,7.596322036630713,yes,included
h3_grid_0004,h3,train,grid,off_path,-4.4791563811834925,1.6830518727720618,yes,included
h3_grid_0005,h3,train,grid,reactant_like,-4.4791563811834925,1.6830518727720618,yes,included
h3_grid_0006,h3,train,grid,reactant_like,-4.4791563811834925,1.6830518727720618,yes,included
h3_grid_0007,h3,train,grid,reactant_like,-4.4791563811834925,1.6830518727720618,yes,included
h3_grid_0008,h3,train,grid,off_path,-1.0625674084445031,4.373809005623942,yes,included
h3_grid_0009,h3,train,grid,off_path,-0.9448220547910973,2.6907571328518802,yes,included
h3_grid_0010,h3,train,grid,transfer_region,-1.7374264383604514,37.83176816012902,yes,included
h3_grid_0011,h3,train,grid,transfer_region,-4.630521729184197,5.913270151525605,yes,included
h3_grid_0012,h3,train,grid,off_path,-4.36141102726101,2.6907571328518802,yes,included
h3_grid_0013,h3,train,grid,reactant_like,-4.36141102726101,2.6907571328518802,yes,included
h3_grid_0014,h3,train,grid,reactant_like,-4.36141102726101,2.6907571328518802,yes,included
h3_grid_0015,h3,train,grid,reactant_like,-4.36141102726101,2.6907571328518802,yes,included
h3_grid_0016,h3,train,grid,off_path,-1.8551717922829312,35.141011027277116,yes,included
h3_grid_0017,h3,train,grid,off_path,-1.7374264383604485,37.831768160129,yes,included
h3_grid_0018,h3,train,grid,transfer_region,-2.2989807306299275,27.63275955993688,yes,included
h3_grid_0019,h3,train,grid,transfer_region,-3.748566449407244,19.93017235496518,yes,included
h3_grid_0020,h3,train,grid,off_path,-3.3247077827859117,19.66642647797145,yes,included
h3_grid_0021,h3,train,grid,off_path,-3.3247077827859117,19.66642647797145,yes,included
h3_grid_0022,h3,train,grid,off_path,-3.3247077827859117,19.66642647797145,yes,included
h3_grid_0023,h3,train,grid,off_path,-3.3247077827859117,19.66642647797145,yes,included
h3_grid_0024,h3,train,grid,off_path,-4.748267082515355,7.596322036630678,yes,included
h3_grid_0025,h3,train,grid,off_path,-4.630521728861947,5.9132701638586305,yes,included
h3_grid_0026,h3,train,grid,transfer_region,-3.748566449407246,19.93017235496516,yes,included
h3_grid_0027,h3,train,grid,transfer_region,-0.7509697950822429,12.966286127903608,yes,included
h3_grid_0028,h3,train,grid,off_path,-0.3753260149596572,12.951113315507849,yes,included
h3_grid_0029,h3,train,grid,off_path,-0.3753260149596572,12.951113315507849,yes,included
h3_grid_0030,h3,train,grid,off_path,-0.3753260149596572,12.951113315507849,yes,included
h3_grid_0031,h3,train,grid,off_path,-0.3753260149596572,12.951113315507849,yes,included
h3_grid_0032,h3,train,grid,off_path,-4.4791563811834925,1.6830518727720618,yes,included
h3_grid_0033,h3,train,grid,off_path,-4.361411027261012,2.6907571328518802,yes,included
h3_grid_0034,h3,train,grid,transfer_region,-3.3247077827859153,19.666426477971438,yes,included
h3_grid_0035,h3,train,grid,transfer_region,-0.3753260149596572,12.951113315507849,yes,included
h3_grid_0036,h3,train,grid,off_path,0.0,0.0,yes,included
h3_grid_0037,h3,train,grid,off_path,0.0,0.0,yes,included
h3_grid_0038,h3,train,grid,off_path,0.0,0.0,yes,included
h3_grid_0039,h3,train,grid,off_path,0.0,0.0,yes,included
