x_A,hstate_energy_eV,hard_energy_eV,smooth_energy_eV,oo_taper_01,oo_taper_10,hard_oo_membership_01,hard_oo_membership_10,smooth_oo_membership_01,smooth_oo_membership_10,hard_o0_h1,hard_o0_h2,hard_o1_h1,hard_o1_h2,smooth_o0_h1,smooth_o0_h2,smooth_o1_h1,smooth_o1_h2,hard_over_delta_eV,hard_angle_delta_eV,smooth_over_delta_eV,smooth_angle_delta_eV
1.08,-6.04843901732192,-13.896295506231258,-13.829953125076413,0.47963038363293214,0.47963038363293214,0.0,0.0,0.01589210392119368,0.018534848065582685,1.0,1.0,1.0,1.0,0.9930617223086422,0.9910461737701641,0.9927482636012666,0.9887168883331507,-3.578584763084658,-4.26927172582468,-3.578584763084658,-4.202929344669835
1.081,-6.125178517178985,-13.900546226450055,-13.835011287247815,0.4765906008269017,0.4765906008269017,0.0,0.0,0.015783605615492267,0.018466894419438277,1.0,1.0,1.0,1.0,0.9931085089935731,0.9911078853909346,0.9927894734832613,0.9887436320973004,-3.5333680739910895,-4.241999635279981,-3.5333680739910895,-4.1764646960777405
1.082,-6.201581827157922,-13.904792142452722,-13.840063161276026,0.47355168491995203,0.47355168491995203,0.0,0.0,0.01567448546598305,0.018397741082192078,1.0,1.0,1.0,1.0,0.9931555753134331,0.9911699392205838,0.9928310053421848,0.9887712535756229,-3.4884516406074133,-4.214758674687387,-3.4884516406074133,-4.150029693510691
1.083,-6.277646958326828,-13.909033252373726,-13.845108668274564,0.4705137484495077,0.4705137484495077,0.0,0.0,0.015564745439502991,0.018327379530708142,1.0,1.0,1.0,1.0,0.9932029205074016,0.9912323340530956,0.9928728601098441,0.9887997603594477,-3.443836864438982,-4.187549429607916,-3.443836864438982,-4.123624845508754
1.084,-6.353371966902122,-13.913269553702973,-13.850147727843858,0.46747690391671437,0.46747690391671437,0.0,0.0,0.015454387783115864,0.01825580145770512,1.0,1.0,1.0,1.0,0.9932505436918092,0.991295068525075,0.992915038626715,0.9888291599155798,-3.3995251040000842,-4.160372482800767,-3.3995251040000842,-4.097250656941651
1.085,-6.428754954162513,-13.917501043307903,-13.855180258098702,0.46444126378228906,0.46444126378228906,0.0,0.0,0.015343415032089545,0.018182998784287408,1.0,1.0,1.0,1.0,0.993298443856569,0.9913581411113415,0.992957541638047,0.9888594595776654,-3.355517674807401,-4.133228414337989,-3.355517674807401,-4.070907629128788
1.086,-6.503794066357006,-13.921727717455209,-13.860206175696355,0.4614069404623433,0.4614069404623433,0.0,0.0,0.015231830017919492,0.01810896367278599,1.0,1.0,1.0,1.0,0.9933466198615816,0.9914215501204989,0.9930003697898895,0.9888906665373244,-3.3118158493792986,-4.106117801718904,-3.3118158493792986,-4.044596259960051
1.087,-6.578487494605833,-13.92594957183216,-13.865225395865242,0.45837404632422446,0.45837404632422446,0.0,0.0,0.015119635876393131,0.01803368853991591,1.0,1.0,1.0,1.0,0.9933950704331215,0.9914852936904852,0.9930435236250431,0.9889227878350412,-3.2684208572416997,-4.079041219984627,-3.2684208572416997,-4.018317044017711
1.088,-6.652833474794931,-13.930166601567514,-13.87023783243434,0.45534269368235386,0.45534269368235386,0.0,0.0,0.015006836055684175,0.017957166070239564,1.0,1.0,1.0,1.0,0.9934437941602073,0.9915493697841081,0.9930870035789366,0.9889558303508238,-3.225333884940115,-4.051999241832469,-3.225333884940115,-3.992070472699295
1.089,-6.726830287463727,-13.934378801251988,-13.875243397863208,0.45231299479407133,0.45231299479407133,0.0,0.0,0.01489343432446865,0.017879389229939993,1.0,1.0,1.0,1.0,0.9934927894909601,0.9916137761845712,0.9931308099754342,0.9889898007946257,-3.182556076058049,-4.024992437730212,-3.182556076058049,-3.9658570343414317
