seed,model,hit,reaction_time_fs,final_retained,minimum_HH_A,maximum_CH_donor_A,maximum_HH_taper,minimum_CH_donor_taper,max_abs_total_change_eV,worst_force_jump_eV_per_A,group_capped_steps,thermal_rms_speed_A_per_fs,relative_approach_speed_A_per_fs,final_HH_A,final_CH_donor_A,final_CH_spectator_A,final_CO_A
0,H-state,0,,0,1.1592240501644566,1.2213645721040844,0.02662896050617425,1.0,0.1729201748824689,2.743362573834619,0,0.013042382584712298,0.06521191292356149,6.667850305165315,1.116815080375965,1.1048061174687953,1.1816878409428302
1,H-state,0,,0,1.1622520574294544,1.166465015814287,0.021046571796574876,1.0,0.34321403923248717,4.6098602861651425,0,0.015335678267696051,0.07667839133848026,5.058568412852838,1.0867168549531039,1.0751887312734065,1.1906414948361288
2,H-state,0,,0,1.1446422597541326,1.2057379322628845,0.06225875996887004,1.0,0.29909126574538547,2.253428496514033,0,0.01594409671602586,0.07972048358012931,6.5545372489877725,1.143750651337377,1.0790450409653691,1.2404841829191724
3,H-state,0,,0,1.1567184436102331,1.168353507673852,0.03172951340400715,1.0,0.16689776519981336,2.385915636886754,0,0.011810970354916739,0.059054851774583694,2.6502093935528097,1.0943098330549015,1.0537651772540757,1.1685545566795328
4,H-state,0,,0,1.1081949983510617,1.2032836594527254,0.20737126758487417,1.0,0.40569457599806213,3.1730213204489432,0,0.0181269554628338,0.090634777314169,6.48211091225162,1.0414780500787273,1.048493619700699,1.2010201432115672
5,H-state,0,,0,1.1549866005938014,1.169182801042416,0.035507049797727064,1.0,0.22353139153274526,1.7731533700260842,0,0.013481788383338222,0.06740894191669111,7.376645398021313,1.1075503165053504,1.0885701805629402,1.234154169852089
6,H-state,0,,0,1.041882992131295,1.2430807113585451,0.588326591548796,1.0,0.8093399259554488,3.2363842499784825,0,0.023642693966944964,0.11821346983472482,5.48883594076212,1.1105029728762346,1.0118256196018345,1.1955931432110887
7,H-state,0,,0,1.1242903091249736,1.2746049217968731,0.13441013638051302,1.0,0.7457313338431124,2.769916510407705,0,0.02277996689937206,0.11389983449686031,3.9532465934416168,1.111835655148151,1.0916014257823692,1.2111873708274274
0,valence-state,0,,0,1.1592240501644566,1.2213645721040847,0.02662896050617425,1.0,0.17292017488247602,2.743362573834619,0,0.013042382584712298,0.06521191292356149,6.667850305165304,1.116815080375958,1.1048061174687984,1.181687840942822
1,valence-state,0,,0,1.1622520574294544,1.1664650158142849,0.021046571796574876,1.0,0.34321403923248894,4.609860286164967,0,0.015335678267696051,0.07667839133848026,5.058568412853087,1.0867168549530977,1.0751887312734172,1.1906414948361246
2,valence-state,0,,0,1.1446422597541326,1.2057379322628845,0.06225875996887004,1.0,0.29909126574538014,2.2534284965140325,0,0.01594409671602586,0.07972048358012931,6.5545372489870495,1.1437506513373399,1.0790450409653933,1.2404841829191697
3,valence-state,0,,0,1.1567184436102331,1.1683535076738556,0.03172951340400715,1.0,0.16689776519982047,2.385915636906323,0,0.011810970354916739,0.059054851774583694,2.650209393552788,1.094309833054903,1.053765177254073,1.168554556679531
4,valence-state,0,,0,1.1081949983510617,1.2032836594527254,0.20737126758487417,1.0,0.4056945759980657,3.1730213204489432,0,0.0181269554628338,0.090634777314169,6.482110912251571,1.0414780500787262,1.0484936197006998,1.2010201432115668
5,valence-state,0,,0,1.1549866005938014,1.1691828010424148,0.035507049797727064,1.0,0.2235313915327506,1.7731533700260842,0,0.013481788383338222,0.06740894191669111,7.376645398021567,1.1075503165053384,1.0885701805629406,1.2341541698520893
6,valence-state,0,,0,1.041882992131295,1.2430807113585445,0.588326591548796,1.0,0.8093399259554577,3.236384249978483,0,0.023642693966944964,0.11821346983472482,5.48883594076029,1.110502972876082,1.0118256196018538,1.1955931432110436
7,valence-state,0,,0,1.1242903091249736,1.2746049217968731,0.13441013638051302,1.0,0.7457313338431213,2.769916510407705,0,0.02277996689937206,0.11389983449686031,3.9532465934416203,1.1118356551481685,1.091601425782364,1.2111873708274328
