path_index,grid_i,grid_j,donor_ch_A,forming_hh_A,grid_energy_eV,relative_to_reactant_eV,reactant_diag_eV,product_diag_eV,signed_gap_product_minus_reactant_eV,abs_gap_eV,coupling_eV,reactant_covalent_eV,reactant_wall_total_eV,reactant_unoccupied_hh_wall_eV,product_covalent_eV,product_wall_total_eV,product_unoccupied_breaking_ch_wall_eV,lowest_h_state_component_eV,mixing_lowering_from_lower_diagonal_eV,full_energy_eV,state_count,candidate_edge_count,donor_edge_active
0,2,24,1.08,1.6100000000000008,-15.289267965344397,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.51604130199193,nan,-15.289267965344397,1,2,0
1,2,23,1.08,1.5700000000000007,-15.289267965128104,2.162927614790533e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.51604130199193,nan,-15.289267965128104,1,2,0
2,2,22,1.08,1.5300000000000007,-15.289267964911778,4.326192737380552e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.5160413019919305,nan,-15.289267964911778,1,2,0
3,2,21,1.08,1.4900000000000007,-15.289267964695423,6.489742077064875e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.516041301991928,nan,-15.289267964695423,1,2,0
4,2,20,1.08,1.4500000000000006,-15.289267964479036,8.65361116098029e-10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.51604130199193,nan,-15.289267964479036,1,2,0
5,2,19,1.08,1.4100000000000006,-15.289267964262622,1.0817746698421615e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.51604130199193,nan,-15.289267964262622,1,2,0
6,2,18,1.08,1.3700000000000006,-15.289267964046171,1.2982255270799214e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.51604130199193,nan,-15.289267964046171,1,2,0
7,2,17,1.08,1.3300000000000005,-15.289267963829696,1.514701253313433e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.516041301991928,nan,-15.289267963829696,1,2,0
8,2,16,1.08,1.2900000000000005,-15.289267963613108,1.7312888900278267e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.516041301991841,nan,-15.289267963613108,1,2,0
9,2,15,1.08,1.2500000000000004,-15.289267963395949,1.9484485136445073e-09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-7.516041301991306,nan,-15.289267963395949,1,2,0
