system,approach,contact_distance_A,actual_min_distance_A,probe_centre_distance_A,exch10_hartree,exch10_eV,exch10_s2_hartree,exch10_s2_eV,exact_to_s2_ratio,target_atoms_json,probe_atoms_json,target_bonds_json,approach_vector_json,status
CH3OH,O_end,1.2,1.2000000000000004,3.0007200000000003,0.1991465998193625,5.419055047259877,0.17760551974910077,4.83289239731223,1.1212860957288509,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [2.6300000000000003, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [3.37144, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[1.0, 0.0, 0.0]",ok
CH3OH,O_end,1.5,1.5000000000000002,3.30072,0.0739727816367024,2.0129019328064373,0.07052304457696038,1.919029805226698,1.0489164510754694,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [2.93, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [3.67144, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[1.0, 0.0, 0.0]",ok
CH3OH,O_end,1.85,1.8500000000000003,3.715825797353385,0.017625598440275655,0.4796169669750245,0.017392975051575603,0.4732869620952568,1.0133745600169177,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [3.345105797353385, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [4.086545797353385, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[1.0, 0.0, 0.0]",ok
CH3OH,O_end,2.2,2.200000000000001,4.108127706055498,0.004326271209638301,0.11772383689036553,0.004310056834088316,0.11728262125453738,1.0037619864828105,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [3.737407706055498, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [4.4788477060554985, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[1.0, 0.0, 0.0]",ok
CH3OH,methyl_face,1.2,1.2000000000000002,1.5707200000000001,0.24701460612960185,6.721609855793191,0.20764550420027253,5.650322017036539,1.1895976610760526,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [-1.2000000000000002, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-1.94144, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[-1.0, 0.0, 0.0]",ok
CH3OH,methyl_face,1.5,1.5000000000000002,1.8707200000000002,0.10194888371592244,2.7741704521412816,0.09429556874525609,2.565913142412277,1.0811630394991534,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [-1.5000000000000002, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-2.2414400000000003, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[-1.0, 0.0, 0.0]",ok
CH3OH,methyl_face,1.85,1.8500000000000003,2.272367706636499,0.02853585627454423,0.7765002069466231,0.027840517570255126,0.7575790768924275,1.0249757822401981,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [-1.9016477066364992, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-2.643087706636499, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[-1.0, 0.0, 0.0]",ok
CH3OH,methyl_face,2.2,2.2000000000000006,2.679281112055176,0.00727888446632304,0.19806853665303847,0.007227454880959049,0.1966690663412279,1.0071158639121336,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [-2.308561112055176, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-3.0500011120551758, 0.0, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[-1.0, 0.0, 0.0]",ok
CH3OH,CH_bond,1.2,1.2000000000000008,2.6607200000000004,0.04155962680708346,1.130895057286665,0.040191331553568965,1.09366184664473,1.0340445364864501,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [-0.7633333333333334, 2.159032705222926, 0.0]}, {""element"": ""H"", ""xyz"": [-1.01048, 2.8580690410135308, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[-0.3333333333333333, 0.9428090415820635, 0.0]",ok
CH3OH,CH_bond,1.5,1.5000000000000002,2.96072,0.015971123790279203,0.43459641823977524,0.015749290379142054,0.4285600236070572,1.014085295641697,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [-0.8633333333333333, 2.4418754176975446, 0.0]}, {""element"": ""H"", ""xyz"": [-1.11048, 3.140911753488149, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[-0.3333333333333333, 0.9428090415820635, 0.0]",ok
CH3OH,CH_bond,1.85,1.8500000000000003,3.31072,0.005017425444947842,0.13653110174292393,0.004993062953002783,0.13586816456469214,1.0048792679312022,"[{""element"": ""C"", ""xyz"": [0.0, 0.0, 0.0]}, {""element"": ""O"", ""xyz"": [1.43, 0.0, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, 1.0276618553244492, 0.0]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.5138309276622244, 0.8899812732112216]}, {""element"": ""H"", ""xyz"": [-0.36333333333333334, -0.513830927662225, -0.8899812732112213]}, {""element"": ""H"", ""xyz"": [1.7346124701488885, 0.9103907089979513, 0.0]}]","[{""element"": ""H"", ""xyz"": [-0.98, 2.7718585822512667, 0.0]}, {""element"": ""H"", ""xyz"": [-1.2271466666666666, 3.4708949180418713, 0.0]}]","[[0, 1], [0, 2], [0, 3], [0, 4], [1, 5]]","[-0.3333333333333333, 0.9428090415820635, 0.0]",ok
