bridge_strength,h3_mixing,h3_barrier_eV,h3_symmetric_r_A,system,status,barrier_eV,reference_low_eV,reference_high_eV,reference_error_eV,reaction_eV,saddle_donor_A,saddle_transfer_A,reactant_donor_A,reactant_transfer_A,donor_step_A,transfer_step_A
0.0,0.5345907211303711,0.42000015711207084,0.935,formaldehyde,ok,0.7504821627468399,0.324,0.324,0.42648216274683987,-0.4364340157317912,1.2800000000000002,1.0100000000000002,1.08,1.3300000000000005,0.04,0.04
0.0,0.5345907211303711,0.42000015711207084,0.935,water,ok,0.5459826433552504,0.364,0.525,0.020982643355250352,-5.329070518200751e-15,1.3000000000000003,1.1,0.9800000000000001,1.5800000000000005,0.04,0.04
0.0,0.5345907211303711,0.42000015711207084,0.935,methane,ok,0.9572742403842334,0.64,0.64,0.31727424038423335,0.057279900807344575,1.4400000000000004,0.8500000000000002,1.08,1.3300000000000005,0.04,0.04
0.05,0.4665631055831909,0.4199998769045248,0.9325000000000001,formaldehyde,ok,0.7280806276139575,0.324,0.324,0.4040806276139575,-0.4364340157317912,1.2400000000000002,0.9700000000000003,1.08,1.3300000000000005,0.04,0.04
0.05,0.4665631055831909,0.4199998769045248,0.9325000000000001,water,ok,0.5814465549463126,0.364,0.525,0.056446554946312566,-5.329070518200751e-15,1.3000000000000003,1.1,0.9800000000000001,1.5800000000000005,0.04,0.04
0.05,0.4665631055831909,0.4199998769045248,0.9325000000000001,methane,ok,0.9925236206877486,0.64,0.64,0.35252362068774856,0.057279900807344575,1.4800000000000004,0.8500000000000002,1.08,1.3300000000000005,0.04,0.04
0.1,0.3981914520263672,0.42000089122277817,0.93,formaldehyde,ok,0.688749798052994,0.324,0.324,0.36474979805299396,-0.4364340157317912,1.3200000000000003,0.9700000000000003,1.08,1.3300000000000005,0.04,0.04
0.1,0.3981914520263672,0.42000089122277817,0.93,water,ok,0.6107197507372746,0.364,0.525,0.08571975073727456,-5.329070518200751e-15,1.1,1.3000000000000003,0.9800000000000001,1.5800000000000005,0.04,0.04
0.1,0.3981914520263672,0.42000089122277817,0.93,methane,ok,1.025465809753964,0.64,0.64,0.38546580975396394,0.057279900807344575,1.4400000000000004,0.8100000000000002,1.08,1.3300000000000005,0.04,0.04
0.15,0.32955121994018555,0.41999998714516895,0.93,formaldehyde,ok,0.645086533095272,0.324,0.324,0.32108653309527196,-0.4364340157317912,1.2800000000000002,0.9300000000000003,1.08,1.3300000000000005,0.04,0.04
0.15,0.32955121994018555,0.41999998714516895,0.93,water,ok,0.6437200403146353,0.364,0.525,0.11872004031463523,-5.329070518200751e-15,1.1400000000000001,1.2600000000000002,0.9800000000000001,1.5800000000000005,0.04,0.04
0.15,0.32955121994018555,0.41999998714516895,0.93,methane,ok,1.0440074108119042,0.64,0.64,0.40400741081190417,0.057279900807344575,1.4400000000000004,0.8100000000000002,1.08,1.3300000000000005,0.04,0.04
0.2,0.2605555057525635,0.419999423709414,0.9275,formaldehyde,ok,0.6482342744433023,0.324,0.324,0.3242342744433023,-0.4364340157317912,1.4000000000000004,0.8500000000000002,1.08,1.3300000000000005,0.04,0.04
0.2,0.2605555057525635,0.419999423709414,0.9275,water,ok,0.6775902360381973,0.364,0.525,0.15259023603819732,-5.329070518200751e-15,1.2600000000000002,1.1400000000000001,0.9800000000000001,1.5800000000000005,0.04,0.04
0.2,0.2605555057525635,0.419999423709414,0.9275,methane,ok,1.0637917921647677,0.64,0.64,0.4237917921647677,0.057279900807344575,1.4400000000000004,0.8100000000000002,1.08,1.3300000000000005,0.04,0.04
0.25,0.1901836395263672,0.4199996486275275,0.9025000000000001,formaldehyde,ok,0.6567470216464493,0.324,0.324,0.33274702164644926,-0.4364340157317912,1.4000000000000004,0.8500000000000002,1.08,1.3300000000000005,0.04,0.04
0.25,0.1901836395263672,0.4199996486275275,0.9025000000000001,water,ok,0.7120621639440117,0.364,0.525,0.18706216394401165,-5.329070518200751e-15,1.2200000000000002,1.1800000000000002,0.9800000000000001,1.5800000000000005,0.04,0.04
0.25,0.1901836395263672,0.4199996486275275,0.9025000000000001,methane,ok,1.0859831627780814,0.64,0.64,0.44598316277808137,0.057279900807344575,1.4400000000000004,0.7700000000000001,1.08,1.3300000000000005,0.04,0.04
