pair,element_a,element_b,orientation,distance_A,exch10_eV,status
H-C,H,C,reverse_T,1.35,9.813983397104014,ok
H-C,H,C,reverse_T,1.6,5.0033810027162025,ok
H-C,H,C,reverse_T,1.9,2.1214454769004223,ok
H-C,H,C,reverse_T,2.2,0.8607336040543275,ok
H-C,H,C,reverse_T,2.55,0.28727549826745075,ok
H-C,H,C,reverse_T,2.9,0.09245368769196072,ok
H-N,H,N,reverse_T,1.3,9.455942320274191,ok
H-N,H,N,reverse_T,1.55,4.494435719110196,ok
H-N,H,N,reverse_T,1.8,2.0568189434777504,ok
H-N,H,N,reverse_T,2.05,0.9121752622659902,ok
H-N,H,N,reverse_T,2.35,0.3324176117634186,ok
H-N,H,N,reverse_T,2.7,0.09903579460810312,ok
H-O,H,O,reverse_T,1.25,9.176144492824477,ok
H-O,H,O,reverse_T,1.5,4.154816423833666,ok
H-O,H,O,reverse_T,1.75,1.8127363661076141,ok
H-O,H,O,reverse_T,2.0,0.7678084718970619,ok
H-O,H,O,reverse_T,2.3,0.2658352565016265,ok
H-O,H,O,reverse_T,2.55,0.10795719866812163,ok
C-N,C,N,reverse_T,1.95,3.7621905423600395,ok
C-N,C,N,reverse_T,2.2,1.6717501387573312,ok
C-N,C,N,reverse_T,2.45,0.7257637264970932,ok
C-N,C,N,reverse_T,2.7,0.309289504623032,ok
C-N,C,N,reverse_T,3.05,0.09128699354448416,ok
C-N,C,N,reverse_T,3.4,0.026238272941416986,ok
C-O,C,O,reverse_T,1.9,3.3682422439752946,ok
C-O,C,O,reverse_T,2.15,1.4291182351470524,ok
C-O,C,O,reverse_T,2.4,0.5938327565530421,ok
C-O,C,O,reverse_T,2.65,0.2427953611657195,ok
C-O,C,O,reverse_T,2.95,0.08153084390580942,ok
C-O,C,O,reverse_T,3.25,0.02691460788119768,ok
N-O,N,O,reverse_T,1.8,5.1092172819296815,ok
N-O,N,O,reverse_T,2.05,2.1067629660526084,ok
N-O,N,O,reverse_T,2.3,0.8550311382704977,ok
N-O,N,O,reverse_T,2.55,0.3417128398447741,ok
N-O,N,O,reverse_T,2.85,0.11164917247428384,ok
N-O,N,O,reverse_T,3.1,0.043604826315977584,ok
